author,date,text,url
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,11 fév,No text found,https://www.facebook.com/reel/1148394440111860/?s=single_unit&__cft__[0]=AZV90pHIt5hNOiEPzkqUDhyDDbKZCp68n3QEX1sOEJt890afGb_P7lQPwUAZRSraXNpfcIvnMJo6UuF-nAyDTykZ1XeiX_lfC8LzQaCSmLad4uu6pNooqEFatoYmJ18ZLslepvi4HOPslA383HZPlc7b6UX9keYivGABSF9vvzQvSD_cRfPkTF0MOz-0mVF-JMekMz09fQ8HgYX_YHZVW8xD&__tn__=H-R
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
No author found,No date found,No text found,No URL found
,"noestdSrop9l8g1uf,1a0:am rfh7 51720645l1i40vm83lhfaf7646t96a","Amour interdit? Trouple canin? Harcèlement de rue ? Le consentement doit être respecté par tous. Si vous aussi vous avez une chienne facile, qui harcèle les autres et s… En voir plus",https://www.facebook.com/stories/122096324234840415/UzpfSVNDOjE3Mzk2MTQwMzAyODEzOTE=/?view_single=false&__cft__[0]=AZVJk2SGCmAfsuJqH1iS59_N68qf079qs3rfc_LBNWcNX29ITJWTX6mqC1N4JffZ0a8A_dJStQIYABcfglw1e25AEGBu9rNp1ykzXfEj5e8ek5BmxxM0ipMuiaNmINBSeAQghI8rqMIgb-9MihiCkhBMUUl95iDMtHjFSVM01TsWLpr69xzfjB7oyTDv_9g1qRuhzjz4ec0lhkatfwYH1sIm&__tn__=%3C%3C%2CP-R
No author found,No date found,No text found,No URL found
Compte vérifié,8 fév,No text found,https://www.facebook.com/reel/517715214680374/?s=single_unit&__cft__[0]=AZWOwOHQex6UfnRH9tZ3P2qbRFm9mjXtDxetA7n9A6a6VbOU9H8TNVeSc1tF8mvZyr7RTYz7_aJ1uCx1pOANPODbkICZfVrDGpjOtmaITxStgL8uZUj6WxuDKDHtryrwVG7q_wxftvm89i9IWhzE0aRxdkINF0aEdtgoUtEuQaX21qa9b6qRKFSLgko0j4Slk9RiiHC-KGStirfCiQoGV8BS&__tn__=H-R
No author found,4 mar,No text found,https://www.facebook.com/reel/637987892501151/?s=single_unit&__cft__[0]=AZWxi0waZMUxGNOM5Z32xFBuUkzALTIIsx0Wg2kLAf6wZkr_mhBFqX72RheMt_SUfpGoHdfXWVtdjOVNducKaSyvBhat1NJ3YOc40n0OT25Ku3i2c9zZ_PrI7FYTQfBh-9P0qiwgD9Bk5YbmCJtnrtyjXWpPeV3B3OZyYtVUYCjTu3ncGrJ9J44d1-98WAvB9SNvUn8JexFYd7bPuYvgpVHc&__tn__=H-R
